Nof,Nserie,Cota,Valor
DFB0003748,PF294445-A,N11-15-Q-FA-1,4
DFB0003748,PF294445-A,N11-15-Q-FA-2,4
DFB0003748,PF294445-A,N11-15-FA-R54,6.0
DFB0003748,PF294445-A,N11-15-FA-R-54,-2.1
DFB0003748,PF294445-A,N11-15-FA-R36,6.4
DFB0003748,PF294445-A,N11-15-FA-R-36,-2.6
DFB0003748,PF294445-A,N11-15-FA-R19,4.8
DFB0003748,PF294445-A,N11-15-FA-R-19,-0.7
DFB0003748,PF294445-A,N11-15-FA-R1,3.6
DFB0003748,PF294445-A,N11-15-FA-R-1,-4.7
DFB0003748,PF294445-A,N11-15-FNA-R1,8.0
DFB0003748,PF294445-A,N11-15-FNA-R-1,-4.2
DFB0003748,PF294445-A,N11-15-FNA-R19,7.0
DFB0003748,PF294445-A,N11-15-FNA-R-19,-6.1
DFB0003748,PF294445-A,N11-15-FNA-R36,9.1
DFB0003748,PF294445-A,N11-15-FNA-R-36,-5.9
DFB0003748,PF294445-A,N11-15-FNA-R54,6.3
DFB0003748,PF294445-A,N11-15-FNA-R-54,-6.8
DFB0003748,PF294445-A,N11-15-Q-FNA-1,5
DFB0003748,PF294445-A,N11-15-Q-FNA-2,4
DFB0003748,PF294445-A,N11-16-Q-FA,5
DFB0003748,PF294445-A,N11-16-FA-R54,7.6
DFB0003748,PF294445-A,N11-16-FA-R36,5.9
DFB0003748,PF294445-A,N11-16-FA-R19,6.1
DFB0003748,PF294445-A,N11-16-FA-R1,9.8
DFB0003748,PF294445-A,N11-16-FNA-R1,8.3
DFB0003748,PF294445-A,N11-16-FNA-R19,10.0
DFB0003748,PF294445-A,N11-16-FNA-R36,10.0
DFB0003748,PF294445-A,N11-16-FNA-R54,8.7
DFB0003748,PF294445-A,N11-16-Q-FNA,5
DFB0003748,PF294445-A,D123,5.9
DFB0003748,PF294445-A,N11-14-FA,10.8
DFB0003748,PF294445-A,N11-14-FNA,11.7
DFB0003748,PF294445-A,N11-13-Q-FA,4
DFB0003748,PF294445-A,N11-13-FA,19.9
DFB0003748,PF294445-A,N11-13-Q-FNA,4
DFB0003748,PF294445-A,N11-13-FNA,19.5
DFB0003748,PF294445-A,N07-123,9.8
